----------Receptor tables----------


DDEP_OXN_m2Grid

      EEZ048  EEZ065  EEZ071  EEZ091  EEZ099  EEZ100  EEZ108  EEZ109  EEZ110  EEZ119  EEZ123  EEZ185  EEZ187  EEZ188  EEZ189  EEZ190  EEZ191  EEZ209  EEZ212  EEZ213  EEZ215  EEZ216  EEZ224  EEZ273  HE1  HE2  HE3  HE4  HE5  HE6  HE7  HE8  HE9  OR1  OR2  OR3  OR4  OR5  
      EEZ048  EEZ065  EEZ071  EEZ091  EEZ099  EEZ100  EEZ108  EEZ109  EEZ110  EEZ119  EEZ123  EEZ185  EEZ187  EEZ188  EEZ189  EEZ190  EEZ191  EEZ209  EEZ212  EEZ213  EEZ215  EEZ216  EEZ224  EEZ273  HE1  HE2  HE3  HE4  HE5  HE6  HE7  HE8  HE9  OR1  OR2  OR3  OR4  OR5  
1995  1.9845  0.5336  0.9220  5.3440  0.1044  0.0303  6.8148  0.4145  0.2209  0.0017  0.0338  0.8395  0.0039  0.7534  6.5714  4.6251  5.5499  15.3113  0.6928  19.1569  0.8272  4.7478  0.2328  9.0256  0.4051  0.9403  1.0205  0.6891  11.3566  0.3191  3.0693  0.4844  4.2433  6.3910  36.9217  14.6959  21.5218  18.3923  
1996  1.3463  1.1478  1.2294  5.1681  0.1225  0.0589  9.8192  0.5462  0.2840  0.0027  0.0614  0.8546  0.0040  0.9119  8.5425  5.3665  6.3416  18.6188  0.7189  26.1697  0.8802  7.6279  0.4221  9.2623  0.4573  1.0256  1.0840  0.8004  13.1212  0.3117  2.8960  0.5293  3.9065  9.3364  47.7436  18.6316  23.7464  18.4292  
1997  1.6274  0.6860  1.1662  5.0409  0.1350  0.0363  9.0929  0.5221  0.2899  0.0025  0.0356  0.8126  0.0036  0.8578  7.1546  5.0893  5.7403  19.8000  0.6036  22.4010  0.7960  5.2020  0.2396  10.6756  0.3571  0.7997  0.8412  0.5604  10.7946  0.3258  2.9987  0.4219  4.2412  6.1930  41.1763  17.7682  25.8413  21.4924  
1998  1.6987  0.4074  0.8891  5.8071  0.1049  0.0215  6.5116  0.3991  0.2192  0.0016  0.0274  0.7755  0.0036  0.6467  5.4414  4.2800  5.1825  14.5552  0.6120  18.2952  0.7836  4.1890  0.1790  9.2587  0.4337  0.9741  0.9676  0.7059  11.7671  0.3181  2.8602  0.4846  4.0964  5.3090  34.0819  13.8866  22.1303  16.2391  
1999  1.6550  0.7320  1.3521  6.2864  0.0969  0.0385  6.6715  0.3921  0.2181  0.0026  0.0354  0.8143  0.0036  0.6755  6.0205  4.8356  5.5144  14.2565  0.7152  19.8050  0.7536  4.9948  0.2213  8.6926  0.4836  1.0727  0.9870  0.7027  11.6862  0.3284  2.9326  0.5235  4.2083  6.3670  37.2331  14.2233  21.2619  16.0716  
2000  1.9923  0.3900  0.9585  5.2679  0.0867  0.0203  6.4885  0.3645  0.2135  0.0013  0.0345  0.8645  0.0040  0.6626  5.4289  4.7099  5.3633  13.0432  0.7155  17.7512  0.7519  4.4145  0.2480  8.4361  0.4380  0.9685  0.9232  0.7080  12.8640  0.3384  3.0252  0.4826  4.2134  5.5447  34.6501  13.6886  19.3602  16.3026  
2001  1.2557  0.6979  0.9957  5.8485  0.1069  0.0418  7.6490  0.4159  0.2299  0.0021  0.0298  0.7110  0.0030  0.6544  5.6194  4.3639  4.8560  15.3090  0.5167  20.2483  0.6064  4.4288  0.1892  8.9497  0.4122  0.8891  0.8874  0.6432  10.9276  0.2916  2.5733  0.4732  3.7590  5.3397  35.1109  15.4255  22.4436  13.5463  
2002  1.7494  0.9794  1.0958  4.3853  0.1191  0.0503  8.0785  0.4756  0.2596  0.0031  0.0489  0.7887  0.0035  0.8121  7.3220  5.4848  5.9015  16.3710  0.5715  23.3347  0.6979  6.1616  0.2889  9.5304  0.4218  1.0204  0.8370  0.6092  11.6179  0.3117  2.6475  0.4701  3.7884  6.5880  43.2974  16.3745  22.2106  17.4736  
2003  1.3024  1.9257  1.9552  5.3890  0.1289  0.1070  12.2183  0.6501  0.3408  0.0075  0.0714  0.8729  0.0042  0.8698  7.7033  5.4755  6.1923  21.5127  0.6085  30.3048  0.7248  7.6330  0.3979  10.3031  0.4350  0.9943  0.8860  0.6127  11.9572  0.3200  2.9652  0.4895  4.0746  9.5839  48.5690  22.5664  26.7304  21.3271  
